Incident_types,Subgroups,Impacts,Average_Resolution_Time_Hour
DB Incident,AMEX,1 - Major,
DB Incident,DatamartMetrics,3 - Medium,
DB Incident,DatamartMetrics,4 - Low,42.778888888888886
DB Incident,DatamartMetrics,2 - High,
DB Incident,DatamartMetrics,1 - Major,
DB Incident,FHL,3 - Medium,81.07138888888889
DB Incident,FHL,4 - Low,
DB Incident,FHL,2 - High,
DB Incident,FHL,1 - Major,
DB Incident,Rubrik Backup Service,3 - Medium,
DB Incident,Rubrik Backup Service,4 - Low,144.90777777777777
DB Incident,Rubrik Backup Service,2 - High,
DB Incident,Rubrik Backup Service,1 - Major,
DB Incident,Snow Inventory Application,3 - Medium,827.6719444444444
DB Incident,Snow Inventory Application,4 - Low,
DB Incident,Snow Inventory Application,2 - High,27.16861111111111
DB Incident,Snow Inventory Application,1 - Major,
DB Incident,SSIS,3 - Medium,524.8061111111111
DB Incident,SSIS,4 - Low,
DB Incident,SSIS,2 - High,
DB Incident,SSIS,1 - Major,
DB Incident,TorchMark,3 - Medium,3.4988888888888887
DB Incident,TorchMark,4 - Low,
DB Incident,TorchMark,2 - High,
DB Incident,TorchMark,1 - Major,
DB Incident,Unidentified,3 - Medium,313.8150694444444
DB Incident,Unidentified,4 - Low,127.08303362573099
DB Incident,Unidentified,2 - High,60.256458333333335
DB Incident,Unidentified,1 - Major,
DB Incident,Verodin Endpoint Service,3 - Medium,10.09037037037037
DB Incident,Verodin Endpoint Service,4 - Low,
DB Incident,Verodin Endpoint Service,2 - High,
DB Incident,Verodin Endpoint Service,1 - Major,
DB Incident,Windows Service WMI,3 - Medium,
DB Incident,Windows Service WMI,4 - Low,
DB Incident,Windows Service WMI,2 - High,13.499666666666668
DB Incident,Windows Service WMI,1 - Major,
DBA Incident,DatamartMetrics,3 - Medium,106.49027777777778
DBA Incident,DatamartMetrics,4 - Low,114.08177777777779
DBA Incident,DatamartMetrics,2 - High,65.01518518518519
DBA Incident,DatamartMetrics,1 - Major,
DBA Incident,MKHSP Server,3 - Medium,
DBA Incident,MKHSP Server,4 - Low,287.7427777777778
DBA Incident,MKHSP Server,2 - High,
DBA Incident,MKHSP Server,1 - Major,
DBA Incident,Quest Change Auditor Agent,3 - Medium,
DBA Incident,Quest Change Auditor Agent,4 - Low,84.81166666666667
DBA Incident,Quest Change Auditor Agent,2 - High,
DBA Incident,Quest Change Auditor Agent,1 - Major,
DBA Incident,Rubrik Backup Service,3 - Medium,110.02527777777777
DBA Incident,Rubrik Backup Service,4 - Low,39.55
DBA Incident,Rubrik Backup Service,2 - High,
DBA Incident,Rubrik Backup Service,1 - Major,
DBA Incident,Snow Inventory Application,3 - Medium,
DBA Incident,Snow Inventory Application,4 - Low,177.6855753968254
DBA Incident,Snow Inventory Application,2 - High,
